episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count,holdout_acc_proto,holdout_acc_ridge
1,proto,5,1,15,0.0,0.0,prototype,prototype,0,1.0,1.0,524.5064001064748,1.2664631605148315,0.5434163212776184,0.0,,0,,
2,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,493.3492001146078,1.3756877183914185,0.46223825216293335,0.0,,0,,
3,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.800000011920929,0.800000011920929,513.7285999953747,1.4008195400238037,0.4166596829891205,0.0,,0,,
4,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,510.2111001033336,1.3723851442337036,0.4325798451900482,0.0,,0,,
5,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,503.33059998229146,1.3495944738388062,0.49115344882011414,0.0,,0,,
6,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,497.35910003073514,1.4399666786193848,0.37950217723846436,0.0,,0,,
7,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,549.4148000143468,1.3186861276626587,0.4761594533920288,0.0,,0,,
8,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,467.9600999224931,1.3385661840438843,0.42033249139785767,0.0,,0,,
9,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,443.2006001006812,1.3100249767303467,0.5016956329345703,0.0,,0,,
10,proto,5,1,15,0.0,0.0,prototype,prototype,0,1.0,1.0,465.94000002369285,1.242531657218933,0.5126489400863647,0.0,,0,,
11,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,492.45009990409017,1.3161704540252686,0.4994247555732727,0.0,,0,,
12,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,492.9810001049191,1.2016924619674683,0.5670983195304871,0.0,,0,,
13,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,817.500300006941,1.3029059171676636,0.4994499087333679,0.0,,0,,
14,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,660.5644999071956,1.2528634071350098,0.5118559002876282,0.0,,0,,
15,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,703.5489999689162,1.2187920808792114,0.5207574367523193,0.0,,0,,
16,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,603.4952001646161,1.289844274520874,0.4832633435726166,0.0,,0,,
17,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,649.00549990125,1.2739295959472656,0.4947958290576935,0.0,,0,,
18,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,653.0516999773681,1.3692158460617065,0.44823282957077026,0.0,,0,,
19,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,683.4567000623792,1.3142203092575073,0.47800663113594055,0.0,,0,,
20,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,675.7394000887871,1.4311187267303467,0.4126337468624115,0.0,,0,,
21,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,554.7589000780135,1.4311375617980957,0.40387070178985596,0.0,,0,,
22,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,637.9070000257343,1.4584492444992065,0.38981714844703674,0.0,,0,,
23,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,617.4405999481678,1.2822792530059814,0.48064371943473816,0.0,,0,,
24,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,622.7812999859452,1.3184401988983154,0.49471044540405273,0.0,,0,,
25,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,588.9069000259042,1.4220482110977173,0.39859771728515625,0.0,,0,,
26,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,828.6679000593722,1.3268591165542603,0.4756498336791992,0.0,,0,,
27,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,876.2370999902487,1.200182557106018,0.5564854741096497,0.0,,0,,
28,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9066666960716248,0.9066666960716248,1129.7126000281423,1.3434443473815918,0.4678003489971161,0.0,,0,,
29,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,1150.7400998380035,1.2920868396759033,0.5145701766014099,0.0,,0,,
30,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,1017.0179998967797,1.330300211906433,0.48791906237602234,0.0,,0,,
31,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,1045.69930001162,1.387171983718872,0.4427104592323303,0.0,,0,,
32,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,992.5072998739779,1.279046893119812,0.4973740577697754,0.0,,0,,
33,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,1152.3294998332858,1.2243890762329102,0.5403780937194824,0.0,,0,,
34,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,870.3183999750763,1.3477730751037598,0.47649067640304565,0.0,,0,,
35,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,874.1243998520076,1.4038724899291992,0.4241396188735962,0.0,,0,,
36,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,889.2126001883298,1.402721881866455,0.4247320592403412,0.0,,0,,
37,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9866666793823242,0.9866666793823242,941.1975999828428,1.2487075328826904,0.5193889141082764,0.0,,0,,
38,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9466666579246521,0.9466666579246521,526.3905997853726,1.2914354801177979,0.4909174144268036,0.0,,0,,
39,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,462.2612001840025,1.254219889640808,0.5363938212394714,0.0,,0,,
40,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9733333587646484,0.9733333587646484,456.97659999132156,1.2074570655822754,0.5215914845466614,0.0,,0,,
41,proto,5,1,15,0.0,0.0,prototype,prototype,0,1.0,1.0,542.874300153926,1.4273837804794312,0.4283205270767212,0.0,,0,,
42,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,596.1736999452114,1.3926892280578613,0.43036139011383057,0.0,,0,,
43,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8266666531562805,0.8266666531562805,574.3233000393957,1.3670411109924316,0.4596865773200989,0.0,,0,,
