episode,strategy,ways,shots,queries,fault_sigma,fault_drop_prob,chosen_method,final_method,rollback_used,acc_final,acc_proto,latency_ms,entropy_final,conf_final,js_vs_proto,alerts,alerts_count
1,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,378.1225997954607,1.6089495420455933,0.20798513293266296,0.0,,0
2,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,382.1954997256398,1.6092071533203125,0.20546093583106995,0.0,,0
3,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.4933333396911621,0.4933333396911621,302.1439998410642,1.6090972423553467,0.2057477980852127,0.0,,0
4,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7066666483879089,0.7066666483879089,331.48679975420237,1.6089009046554565,0.20667928457260132,0.0,,0
5,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,277.7036000043154,1.6090654134750366,0.207309752702713,0.0,,0
6,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.5866666436195374,0.5866666436195374,275.9275999851525,1.6091645956039429,0.20594964921474457,0.0,,0
7,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7333333492279053,0.7333333492279053,293.9927000552416,1.6091781854629517,0.20485951006412506,0.0,,0
8,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.4933333396911621,0.4933333396911621,316.62349961698055,1.6090320348739624,0.20628730952739716,0.0,,0
9,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,267.17029977589846,1.6090679168701172,0.2066371738910675,0.0,,0
10,proto,5,1,15,0.0,0.0,prototype,prototype,0,1.0,1.0,274.04799964278936,1.6086941957473755,0.2100028395652771,0.0,,0
11,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,280.8119999244809,1.6091612577438354,0.2058877795934677,0.0,,0
12,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9333333373069763,0.9333333373069763,298.0816001072526,1.6086938381195068,0.21047326922416687,0.0,,0
13,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9599999785423279,0.9599999785423279,277.6949000544846,1.6079343557357788,0.2128346562385559,0.0,,0
14,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.9200000166893005,0.9200000166893005,312.6087002456188,1.609155297279358,0.20608456432819366,0.0,,0
15,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,307.65629978850484,1.609102725982666,0.20612891018390656,0.0,,0
16,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7333333492279053,0.7333333492279053,308.42179991304874,1.609124779701233,0.20652879774570465,0.0,,0
17,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.746666669845581,0.746666669845581,283.66419998928905,1.6088464260101318,0.2079201340675354,0.0,,0
18,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7200000286102295,0.7200000286102295,341.0151000134647,1.6090600490570068,0.20736677944660187,0.0,,0
19,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,361.90889962017536,1.6092357635498047,0.2053103893995285,0.0,,0
20,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.4933333396911621,0.4933333396911621,338.44799967482686,1.6089928150177002,0.20537862181663513,0.0,,0
21,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.5866666436195374,0.5866666436195374,313.7829997576773,1.6093406677246094,0.2035001665353775,0.0,,0
22,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.800000011920929,0.800000011920929,322.87679985165596,1.6084293127059937,0.21104253828525543,0.0,,0
23,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,312.340899836272,1.609173059463501,0.20577171444892883,0.0,,0
24,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,292.79169999063015,1.6092971563339233,0.20438437163829803,0.0,,0
25,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,282.5263002887368,1.6091716289520264,0.20561589300632477,0.0,,0
26,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8133333325386047,0.8133333325386047,321.26079965382814,1.6091735363006592,0.206536203622818,0.0,,0
27,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,307.56699992343783,1.6078556776046753,0.21254412829875946,0.0,,0
28,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.6133333444595337,0.6133333444595337,345.0715998187661,1.6090519428253174,0.20630034804344177,0.0,,0
29,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,341.3554998114705,1.6092183589935303,0.20545798540115356,0.0,,0
30,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8933333158493042,0.8933333158493042,344.7475996799767,1.6090134382247925,0.20656050741672516,0.0,,0
31,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.800000011920929,0.800000011920929,353.88310020789504,1.6088893413543701,0.2077961415052414,0.0,,0
32,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,281.80549992248416,1.6089080572128296,0.20792287588119507,0.0,,0
33,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8399999737739563,0.8399999737739563,279.4801997952163,1.6088218688964844,0.20959264039993286,0.0,,0
34,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8533333539962769,0.8533333539962769,299.02909975498915,1.6087675094604492,0.20911824703216553,0.0,,0
35,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7866666913032532,0.7866666913032532,308.0051001161337,1.609100103378296,0.20614312589168549,0.0,,0
36,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,410.08180007338524,1.6091971397399902,0.2052178680896759,0.0,,0
37,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8799999952316284,0.8799999952316284,471.13250009715557,1.6092212200164795,0.2054438591003418,0.0,,0
38,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.6666666865348816,0.6666666865348816,361.9960998184979,1.6088945865631104,0.20704330503940582,0.0,,0
39,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7599999904632568,0.7599999904632568,340.6037003733218,1.608741283416748,0.20999076962471008,0.0,,0
40,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.7733333110809326,0.7733333110809326,376.01380003616214,1.6091042757034302,0.206184521317482,0.0,,0
41,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.8133333325386047,0.8133333325386047,348.42149959877133,1.6092761754989624,0.205389603972435,0.0,,0
42,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.6800000071525574,0.6800000071525574,382.2422996163368,1.609328269958496,0.20385873317718506,0.0,,0
43,proto,5,1,15,0.0,0.0,prototype,prototype,0,0.6933333277702332,0.6933333277702332,446.95569993928075,1.6092636585235596,0.2047574371099472,0.0,,0
